logged_at,season,week,game_id,gameday,home_team,away_team,market_spread,predicted_margin,home_win_prob,edge,pick_side,pick_team,actual_margin,result
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_CAR_ATL,2026-09-20 00:00:00,ATL,CAR,-2.5,5.4,0.662,7.9,home,ATL,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_MIA_SF,2026-09-20 00:00:00,SF,MIA,13.5,8.07,0.735,-5.43,away,MIA,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_SEA_ARI,2026-09-20 00:00:00,ARI,SEA,-3.5,-8.14,0.264,-4.64,away,SEA,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_CLE_TB,2026-09-20 00:00:00,TB,CLE,8.5,4.96,0.65,-3.54,away,CLE,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_MIN_CHI,2026-09-20 00:00:00,CHI,MIN,4.5,1.38,0.543,-3.12,away,MIN,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_CIN_HOU,2026-09-20 00:00:00,HOU,CIN,2.5,5.32,0.66,2.82,home,HOU,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_JAX_DEN,2026-09-20 00:00:00,DEN,JAX,2.5,-0.29,0.491,-2.79,away,JAX,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_GB_NYJ,2026-09-20 00:00:00,NYJ,GB,-3.5,-6.14,0.317,-2.64,away,GB,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_LV_LAC,2026-09-20 00:00:00,LAC,LV,6.5,8.92,0.756,2.42,home,LAC,,
2026-09-17T03:28:06.688914+00:00,2026,2,2026_02_PHI_TEN,2026-09-20 00:00:00,TEN,PHI,-7.0,-9.13,0.239,-2.13,away,PHI,,
